LastUpdate;Country;Category;Indicator (text in app);Cod.Category;Cod.Indicator;value;comment
27-06-20;AUT;Travel;May I enter this country without being subject to a mandatory quarantine?;2;10;WL;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Travel;May I enter this country without a medical certificate or a negative test?;2;11;WL;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at
27-06-20;AUT;Services;Are non-essential shops open?;3;1;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
27-06-20;AUT;Services;Are tourism accommodations open?;3;2;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
27-06-20;AUT;Services;Are restaurants open?;3;3;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter. All restaurants and catering facilities should close at 1 a.m..
27-06-20;AUT;Services;Are bars & cafés open?;3;4;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter. All restaurants and catering facilities should close at 1 a.m..
27-06-20;AUT;Services;Are beaches and tourist areas openly accessible?;3;5;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
27-06-20;AUT;Services;Are museums & heritage sites open?;3;6;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
27-06-20;AUT;Services;Are personal care services available?;3;7;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter. If the minimum distance of one meter between customer and service provider cannot be maintained due to the nature of the service, this is only permitted if the risk of infection can be minimized by taking suitable protective measures.
27-06-20;AUT;Services;Are places of worship accessible?;3;8;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
27-06-20;AUT;Services;Are arrangements for “closed door” (i.e. organised coach tours without intermediate pickup) tourism packages available?;3;9;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
27-06-20;AUT;Health & Safety;Are there any risk areas under lockdown in this country?;4;1;N;
27-06-20;AUT;Health & Safety;Is a mask required in public?;4;2;;Yes, a mask must be worn in certain areas: In public transport and taxis, at events in closed rooms (except at the assigned seat), in cable cars and cogwheel trains, coaches and inside excursion boats, in pharmacies and at services, if the 1 meter distance cannot be maintained or no other protective measures (e.g. plexiglass pane) are available.
27-06-20;AUT;Health & Safety;Is physical distancing required?;4;3;;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter
27-06-20;AUT;Health & Safety;Health protocols for tourism services and tourists;4;4;;"<a href=""https://www.sichere-gastfreundschaft.at"">Sichere gastfreundschaft</a><br><a href=""https://www.austria.info/en"">Safe hospitality</a>"
27-06-20;AUT;Health & Safety;Safety measures for public transportation;4;5;;A mask must be worn in public transport and taxis.
27-06-20;AUT;Health & Safety;Other measures;4;6;;
27-06-20;AUT;Health & Safety;Recommended contact tracing app;4;7;;A contact tracing online tool for supporting public authorities regarding the contact tracing process has been planned. 
27-06-20;AUT;Health & Safety;Gatherings;4;8;;The maximum number of people allowed for events is gradually increased: Events up to 100 people are currently allowed. From July 1, 2020 events with assigned and labeled seats in closed rooms with up to 250 visitors and with assigned and labeled seats in the open air area with up to 500 visitors will be possible. As of August 1, 2020, these numbers will be increased to 500 visitors in closed rooms and 750 visitors in the open-air area.
06-07-20;AUT;;National information;1;1;;PLEASE DO NOT FILL THIS FIELD
06-07-20;AUT;;Regional information;1;2;;"<a href=""https://www.austria.info/en/where-to-go/provinces/burgenland"">Burgenland </a><br><a href=""https://www.visitcarinthia.at/"">Kärnten</a><br><a href=""https://www.lower-austria.info/"">Niederösterreich</a><br><a href=""https://www.upperaustria.com/en/"">Oberösterreich</a><br><a href=""https://www.salzburg.info/en"">Salzburg</a><br><a href=""https://www.steiermark.com/en/trip-planning"">Steiermark</a><br><a href=""https://www.tyrol.com/"">Tirol</a><br><a href=""https://www.vorarlberg.travel/en/"">Vorarlberg</a><br><a href=""https://www.wien.info/en"">Wien</a><br>"
06-07-20;AUT;;EU initiatives;1;3;;PLEASE DO NOT FILL THIS FIELD
06-07-20;AUT;;Voucher schemes;3;10;;
06-07-20;AUT;Info;National website with coronavirus related information for TOURISM;1;5;;"<a href=""https://www.austria.info/"">Tourism Austria</a>"
06-07-20;AUT;Info;National website with coronavirus related inofrmation for TRANSPORT;1;6;;"<a href=""www.bmk.gv.at/"">Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology. </a>"
06-07-20;AUT;Info;National website on the coronavirus ;1;7;;"<a href=""http://sozialministerium.at"">http://sozialministerium.at</a>"
06-07-20;AUT;Info;National coronavirus helpline ;1;8;;43800201611
06-07-20;AUT;Info;Restrictions on the provision of tourist services at national or sub-national/regional level;1;9;;
06-07-20;AUT;Info;Useful Info for tourists;1;10;;"Before starting your journey, please check visa requirements for your destination at: <a href=""https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/visa-policy/schengen_visa_en"">The Schengen visa</a>"
06-07-20;AUT;Travel;May I freely move within this country?;2;1;Y;
06-07-20;AUT;Travel;From within the EU/EEA, may I enter or exit this country for tourism? ;2;2;WL;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at Update 29 June: Due to a high number of cases, travellers from the Gütersloh district in Germany will need a negative COVID-19 test (administered in the last 48 hrs) to travel to Austria.<br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days.
06-07-20;AUT;Travel;May I transit this country?;2;3;Y;Transit without further stops in Austria is allowed.
06-07-20;AUT;Travel;May I enter this country by car/motorbike/camper?;2;4;Y;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at Update 29 June: Due to a high number of cases, travellers from the Gütersloh district in Germany will need a negative COVID-19 test (administered in the last 48 hrs) to travel to Austria.<br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days.
06-07-20;AUT;Travel;May I enter this country by train?;2;5;Y;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at <br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days.
06-07-20;AUT;Travel;May I enter this country by bus or coach?;2;6;Y;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at Update 29 June: Due to a high number of cases, travellers from the Gütersloh district in Germany will need a negative COVID-19 test (administered in the last 48 hrs) to travel to Austria.<br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days.
06-07-20;AUT;Travel;May I enter this country by sea transport?;2;7;;
06-07-20;AUT;Travel;May I fly to this country?;2;8;WL;Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at Update 29 June: Due to a high number of cases, travellers from the Gütersloh district in Germany will need a negative COVID-19 test (administered in the last 48 hrs) to travel to Austria.<br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days.
06-07-20;AUT;Travel;As a third-country national coming from outside the EU/EEA, May I enter this country without restrictions?;2;9;N;No. Third country nationals from outside the EU and Schengen area are prohibited from entering the country. You can find exceptions to this rule here: www.sozialministerium.at
06-07-20;AUT;Travel;May I enter this country without being subject to a mandatory quarantine?;2;10;WL;From the UK, Sweden, and Portugal only essential travel in conjunction with a negative COVID-19 test or self-quarantine is permitted. Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at  
06-07-20;AUT;Travel;May I enter this country without a medical certificate or a negative test?;2;11;WL;From the UK, Sweden, and Portugal only essential travel in conjunction with a negative COVID-19 test or self-quarantine is permitted. Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at 
06-07-20;AUT;Services;Are non-essential shops open?;3;1;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
06-07-20;AUT;Services;Are tourism accommodations open?;3;2;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
06-07-20;AUT;Services;Are restaurants open?;3;3;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter. All restaurants and catering facilities should close at 1 a.m..
06-07-20;AUT;Services;Are bars & cafés open?;3;4;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter. All restaurants and catering facilities should close at 1 a.m..
06-07-20;AUT;Services;Are beaches and tourist areas openly accessible?;3;5;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
06-07-20;AUT;Services;Are museums & heritage sites open?;3;6;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
06-07-20;AUT;Services;Are personal care services available?;3;7;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter. If the minimum distance of one meter between customer and service provider cannot be maintained due to the nature of the service, this is only permitted if the risk of infection can be minimized by taking suitable protective measures.
06-07-20;AUT;Services;Are places of worship accessible?;3;8;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
06-07-20;AUT;Services;Are arrangements for “closed door” (i.e. organised coach tours without intermediate pickup) tourism packages available?;3;9;Y;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter.
06-07-20;AUT;Health & Safety;Are there any risk areas under lockdown in this country?;4;1;N;
06-07-20;AUT;Health & Safety;Is a mask required in public?;4;2;;Yes, a mask must be worn in certain areas: In public transport and taxis, at events in closed rooms (except at the assigned seat), in cable cars and cogwheel trains, coaches and inside excursion boats, in pharmacies and at services, if the 1 meter distance cannot be maintained or no other protective measures (e.g. plexiglass pane) are available.
06-07-20;AUT;Health & Safety;Is physical distancing required?;4;3;;Yes. When entering public places, people who do not live in the same household must be kept at a distance of at least one meter
06-07-20;AUT;Health & Safety;Health protocols for tourism services and tourists;4;4;;"<a href=""https://www.sichere-gastfreundschaft.at"">Sichere gastfreundschaft</a><br><a href=""https://www.austria.info/en"">Safe hospitality</a>"
06-07-20;AUT;Health & Safety;Safety measures for public transportation;4;5;;A mask must be worn in public transport and taxis.
06-07-20;AUT;Health & Safety;Other measures;4;6;;
06-07-20;AUT;Health & Safety;Recommended contact tracing app;4;7;;A contact tracing online tool for supporting public authorities regarding the contact tracing process has been planned. 
06-07-20;AUT;Health & Safety;Gatherings;4;8;;The maximum number of people allowed for events is gradually increased: Events with assigned and labeled seats in closed rooms are allowed with a maximum of 250 visitors. Events with assigned and labeled seats in the open air, are allowed with  a maximum of 500 visitors. As of August 1, 2020, these numbers will be increased to 500 visitors in closed rooms and 750 visitors in the open-air area.
14-07-20;AUT;;National information;1;1;;PLEASE DO NOT FILL THIS FIELD
14-07-20;AUT;;Regional information;1;2;;"<a href=""https://www.austria.info/en/where-to-go/provinces/burgenland"">Burgenland </a><br><a href=""https://www.visitcarinthia.at/"">Kärnten</a><br><a href=""https://www.lower-austria.info/"">Niederösterreich</a><br><a href=""https://www.upperaustria.com/en/"">Oberösterreich</a><br><a href=""https://www.salzburg.info/en"">Salzburg</a><br><a href=""https://www.steiermark.com/en/trip-planning"">Steiermark</a><br><a href=""https://www.tyrol.com/"">Tirol</a><br><a href=""https://www.vorarlberg.travel/en/"">Vorarlberg</a><br><a href=""https://www.wien.info/en"">Wien</a><br>"
14-07-20;AUT;;EU initiatives;1;3;;PLEASE DO NOT FILL THIS FIELD
14-07-20;AUT;;Voucher schemes;3;10;;
14-07-20;AUT;Info;National website with coronavirus related information for TOURISM;1;5;;"<a href=""https://www.austria.info/"">Tourism Austria</a>"
14-07-20;AUT;Info;National website with coronavirus related inofrmation for TRANSPORT;1;6;;"<a href=""www.bmk.gv.at/"">Federal Ministry for Climate Protection, Environment, Energy, Mobility, Innovation and Technology. </a>"
14-07-20;AUT;Info;National website on the coronavirus ;1;7;;"<a href=""http://sozialministerium.at"">http://sozialministerium.at</a>"
14-07-20;AUT;Info;National coronavirus helpline ;1;8;;43800201611
14-07-20;AUT;Info;Restrictions on the provision of tourist services at national or sub-national/regional level;1;9;;
14-07-20;AUT;Info;Useful Info for tourists;1;10;;"Before starting your journey, please check visa requirements for your destination at: <a href=""https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/visa-policy/schengen_visa_en"">The Schengen visa</a>"
14-07-20;AUT;Travel;May I freely move within this country?;2;1;Y;
14-07-20;AUT;Travel;From within the EU/EEA, may I enter or exit this country for tourism? ;2;2;WL;"Travellers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium,  Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. <br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days. <br>You can find the latest provisions at <a href=""www.sozialministerium.at"">www.sozialministerium.at</a><br>Update 11 July: Bulgaria and Romania have been removed from the list of countries with no restrictions. Travellers from Bulgaria and Romania now also need a negative COVID-19 test (administered in the last 4 days) to travel to Austria."
14-07-20;AUT;Travel;May I transit this country?;2;3;Y;Transit without further stops in Austria is allowed.
14-07-20;AUT;Travel;May I enter this country by car/motorbike/camper?;2;4;Y;"Travellers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium,  Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. <br>The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 14 days. <br>You can find the latest provisions at <a href=""www.sozialministerium.at"">www.sozialministerium.at</a><br>Update 11 July: Bulgaria and Romania have been removed from the list of countries with no restrictions. Travellers from Bulgaria and Romania now also need a negative COVID-19 test (administered in the last 4 days) to travel to Austria."
